responseid	interview_start	interview_end	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field	improve_funding_to_reproduce	improve_funding_for_practices	improve_teaching	improve_mentoring	improve_stats	improve_experimantal_design	improve_validationa_outside_lab	improve_journal	improve_mentoring	improve_time_check	"""I think that the failure to reproduce scientific studies is a major problem in my field"""	"""I think that the failure to reproduce scientific studies is a major problem for all fields"""	Think about reproducibility of your research	Speak to you colleagues about reproducibility	Question the reproducibility of other scientists' work	Have you encountered efforts or directives from funding agencies designed to improve reproducibility of the work you do?	Have you encountered efforts from journal publishers designed to enhance or ensure the reproducibility of your work (e.g. using checklists to ensure standards for describing research methods)?	How many members are in your lab?	What is your age?
2913	12/10/2015	12/10/2015	Yes	0	1	0	0	Fairly familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	No	Yes	No	Yes	No	No	Associate professor/Lecturer	Other	Not very likely	I don't know	Likely	Likely	Very likely	Likely	Likely	Very likely	Likely	Likely	Agree	Agree	Weekly	Monthly	Monthly	No	Yes	6-10 members	45 - 54
2920	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Too much	70%	"...better than for other scientific fields on average."""	No	Yes	No	No	I can't remember	No	Post-doctoral Fellow	Chemistry	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Agree	Agree	Daily	Daily	Daily	No	No	More than 50 members	25 - 34
2927	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	Too much	70%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Other	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Not very likely	Not at all likely	Likely	Likely	Disagree	Neither agree nor disagree	Monthly	Monthly	Monthly	Yes	Yes	6-10 members	35 - 44
2932	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	I am unsure	Yes	Yes	Yes	No	No	No	PhD Student	Biology	Likely	Likely	Not very likely	Likely	Very likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Agree	Strongly agree	Weekly	Quarterly	Monthly	No	No	1-5 members	25 - 34
2935	12/10/2015	12/10/2015	Yes	0	0	1	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Materials Science	Likely	Likely	Likely	Likely	Very likely	Likely	Very likely	Very likely	Very likely	Very likely	Strongly agree	Strongly agree	Daily	Daily	Weekly	Yes	No	6-10 members	25 - 34
2940	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Principal Investigator	Physics	Likely	Likely	Very likely	Very likely	Very likely	Likely	Not very likely	Very likely	Likely	Likely	Disagree	Neither agree nor disagree	Weekly	Monthly	Quarterly	No	Yes	11-25 members	25 - 34
2947	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	40%	I am unsure	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Agree	Neither agree nor disagree	Weekly	Weekly	Weekly	No	Not applicable	1-5 members	25 - 34
2961	12/10/2015	12/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	I don't know	A reasonable amount	70%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Other (please specify)	Other	Likely	I don't know	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Very likely	Neither agree nor disagree	Disagree	Quarterly	Quarterly	Quarterly	No	Yes	None	55 - 64
2975	12/10/2015	12/10/2015	Yes	1	0	0	0	Fairly familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	I am unsure	Yes	No	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Likely	Not very likely	Not very likely	Not very likely	Not very likely	Likely	Not very likely	Not very likely	Likely	Neither agree nor disagree	Agree	Quarterly	Never	Quarterly	Yes	Yes	11-25 members	25 - 34
2981	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	Yes	Principal Investigator	Medicine	Not very likely	Likely	Likely	Likely	Very likely	Very likely	Not very likely	Very likely	Likely	Not very likely	Agree	Strongly agree	Monthly	Monthly	Weekly	Yes	Yes	6-10 members	35 - 44
2983	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	1	0	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	I am unsure	Yes	No	No	No	No	No	Research Scientist	Chemistry	Very likely	Likely	Likely	Very likely	Likely	Likely	Not very likely	Likely	Likely	Very likely	Neither agree nor disagree	Disagree	Monthly	Quarterly	Quarterly	No	Yes	11-25 members	25 - 34
2985	12/10/2015	12/10/2015	Yes	1	0	0	0	Fairly familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Research Director/VP of Research	Biology	Not very likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Not very likely	Very likely	Likely	Strongly agree	Agree	Weekly	Monthly	Monthly	No	No	1-5 members	35 - 44
2991	12/10/2015	12/10/2015	Yes	0	0	1	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Biology	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Agree	Strongly agree	Weekly	Weekly	Weekly	No	Not applicable	6-10 members	25 - 34
2994	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	1	0	There is a slight crisis of reproducibility	I am unsure	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	Yes	PhD Student	Other	Likely	Very likely	Likely	Likely	Likely	I don't know	Likely	I don't know	Not very likely	I don't know	Agree	Neither agree nor disagree	Daily	Weekly	Monthly	No	Yes	6-10 members	25 - 34
3000	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	80%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Not very likely	Very likely	Not very likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Strongly disagree	Strongly disagree	Quarterly	Quarterly	Monthly	No	No	1-5 members	25 - 34
3003	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	PhD Student	Biology	Likely	Not very likely	Not very likely	Very likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Not very likely	Neither agree nor disagree	Agree	Quarterly	Quarterly	Monthly	No	Yes	26-50 members	25 - 34
3004	12/10/2015	12/10/2015	Yes	0	0	1	0	Somewhat familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Medicine	Likely	Likely	Very likely	Very likely	Not very likely	Likely	Not very likely	Very likely	Very likely	Likely	Neither agree nor disagree	Agree	Weekly	Monthly	Monthly	No	Yes	6-10 members	25 - 34
3006	12/10/2015	12/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	Professor	Earth and Environmental Science	Very likely	Very likely	Likely	Likely	Very likely	Likely	Very likely	Very likely	Likely	Not very likely	Neither agree nor disagree	Neither agree nor disagree	Monthly	Quarterly	Never	No	No	1-5 members	55 - 64
3019	12/10/2015	12/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Research Scientist	Physics	Not very likely	Likely	Not very likely	Not very likely	I don't know	I don't know	I don't know	Not very likely	I don't know	I don't know	Disagree	Disagree	Quarterly	Quarterly	Quarterly	Not applicable	No	More than 50 members	35 - 44
3032	12/10/2015	12/10/2015	Yes	0	1	0	0	Somewhat familiar	0	1	0	0	0	0	I don't know	A reasonable amount	20%	I am unsure	No	No	No	No	No	No	PhD Student	Engineering	Very likely	Likely	Likely	Very likely	Likely	Very likely	Likely	Not very likely	Likely	Not very likely	Disagree	Neither agree nor disagree	Monthly	Never	Never	No	No	6-10 members	25 - 34
3040	12/10/2015	12/10/2015	Yes	1	0	0	0	Very familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	Yes	No	Research Scientist	Medicine	Likely	Very likely	Not very likely	Not very likely	Likely	Not very likely	Very likely	Very likely	Not very likely	Likely	Agree	Strongly agree	Weekly	Weekly	Weekly	No	No	6-10 members	25 - 34
3041	12/10/2015	12/10/2015	Yes	1	0	0	0	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Other (please specify)	Other	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Agree	Strongly agree	Quarterly	Never	Quarterly	No	No	11-25 members	18 - 24
3050	12/10/2015	12/10/2015	Yes	1	0	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	80%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	Yes	Yes	Yes	Associate professor/Lecturer	Medicine	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Agree	Agree	Quarterly	Monthly	Quarterly	No	No	1-5 members	55 - 64
3055	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	Yes	Yes	Laboratory Director/Head	Biology	Likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Very likely	Very likely	Very likely	Agree	Agree	Monthly	Weekly	Weekly	No	Yes	6-10 members	35 - 44
3060	12/10/2015	12/10/2015	Yes	0	1	0	0	Fairly familiar	1	0	1	0	0	0	There is a slight crisis of reproducibility	Not enough	40%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Biology	Not very likely	Likely	Likely	Likely	Very likely	Likely	Likely	Likely	Likely	Likely	Disagree	Agree	Weekly	Weekly	Monthly	No	No	1-5 members	18 - 24
3063	12/10/2015	12/10/2015	Yes	1	0	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Not very likely	Likely	Likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Agree	Agree	Daily	Monthly	Daily	Yes	Yes	1-5 members	35 - 44
3067	12/10/2015	12/10/2015	Yes	1	0	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	No	No	Principal Investigator	Biology	Not very likely	Not very likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Disagree	Neither agree nor disagree	Daily	Weekly	Quarterly	No	Yes	1-5 members	55 - 64
3070	12/10/2015	12/10/2015	Yes	0	1	0	0	Fairly familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Technician/Research Assistant	Medicine	Very likely	Not very likely	I don't know	Likely	Very likely	Likely	I don't know	Not very likely	Likely	I don't know	Neither agree nor disagree	Agree	Monthly	Weekly	Weekly	Not applicable	Not applicable	1-5 members	25 - 34
3073	12/10/2015	12/10/2015	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Principal Investigator	Biology	Likely	I don't know	I don't know	Likely	I don't know	I don't know	Likely	I don't know	I don't know	I don't know	Disagree	Agree	Monthly	Monthly	Monthly	No	Yes	1-5 members	45 - 54
3075	12/10/2015	12/10/2015	Yes	0	0	1	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	30%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	PhD Student	Other	Very likely	Likely	Not very likely	Likely	Not very likely	Likely	Likely	Very likely	Likely	Not very likely	Disagree	Agree	Monthly	Monthly	Never	No	Not applicable	1-5 members	25 - 34
3088	12/10/2015	12/10/2015	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Other (please specify)	Medicine	Likely	Likely	Likely	Likely	Likely	Likely	Very likely	Very likely	Likely	Very likely	Strongly agree	Strongly agree	Daily	Weekly	Weekly	Yes	Yes	None	55 - 64
3090	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	I am unsure	80%	I am unsure	Yes	Yes	No	No	No	No	Research Scientist	Biology	Not very likely	Likely	Likely	Likely	Very likely	Likely	Likely	Not at all likely	Not very likely	Likely	Agree	Disagree	Weekly	Weekly	Quarterly	No	Yes	11-25 members	45 - 54
3109	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	Too much	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	I can't remember	I can't remember	No	No	Research Scientist	Biology	Not very likely	Not very likely	Very likely	Very likely	Very likely	Likely	Not very likely	Likely	Likely	Likely	Disagree	Disagree	Weekly	Weekly	Monthly	No	Yes	11-25 members	25 - 34
3111	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Likely	Not very likely	Not very likely	Not at all likely	Likely	Likely	Not very likely	Likely	Not at all likely	Strongly agree	Strongly agree	Daily	Weekly	Weekly	Yes	Yes	11-25 members	25 - 34
3116	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	90%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Principal Investigator	Biology	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Strongly disagree	Disagree	Daily	Daily	Daily	No	No	6-10 members	55 - 64
3118	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	80%	"...better than for other scientific fields on average."""	No	Yes	Yes	No	I can't remember	I can't remember	Senior Scientist	Other	Very likely	Very likely	Likely	Very likely	Likely	Not very likely	Very likely	Very likely	Not very likely	Likely	Disagree	Strongly agree	Never	Quarterly	Quarterly	No	No	1-5 members	45 - 54
3119	12/10/2015	12/10/2015	Yes	1	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	Yes	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Not very likely	Likely	Not very likely	Likely	Very likely	Very likely	Not very likely	Not very likely	Strongly agree	Strongly agree	Monthly	Monthly	Monthly	Not applicable	No	6-10 members	25 - 34
3127	12/10/2015	12/10/2015	Yes	0	1	0	0	Fairly familiar	1	1	1	1	0	0	I don't know	A reasonable amount	80%	"...better than for other scientific fields on average."""	No	Yes	Yes	Yes	No	No	Other (please specify)	Physics	Not very likely	Not at all likely	Likely	Likely	Likely	I don't know	I don't know	Likely	I don't know	I don't know	Strongly agree	Agree	Daily	Daily	Weekly	Not applicable	No	6-10 members	55 - 64
3130	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Too much	10%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Principal Investigator	Other	Not very likely	Likely	Not very likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Disagree	Agree	Weekly	Weekly	Quarterly	No	No	None	45 - 54
3133	12/10/2015	12/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	Associate professor/Lecturer	Medicine	Likely	Likely	Very likely	Very likely	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Strongly agree	Strongly agree	Weekly	Monthly	Weekly	No	Not applicable	6-10 members	45 - 54
3135	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Likely	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Likely	Agree	Agree	Daily	Daily	Daily	No	No	1-5 members	25 - 34
3138	12/10/2015	12/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	I am unsure	80%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Senior Scientist	Biology	I don't know	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	I don't know	Very likely	Neither agree nor disagree	Agree	Daily	Weekly	Weekly	Yes	No	11-25 members	45 - 54
3139	12/10/2015	12/10/2015	Yes	0	0	1	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	PhD Student	Other	Likely	Very likely	Likely	Very likely	Likely	Very likely	Likely	Likely	Likely	Likely	Agree	Agree	Monthly	Monthly	Monthly	Not applicable	Not applicable	1-5 members	35 - 44
3140	12/10/2015	12/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a slight crisis of reproducibility	I am unsure	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	Yes	Yes	Principal Investigator	Medicine	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Agree	Agree	Monthly	Monthly	Quarterly	No	Yes	1-5 members	45 - 54
3145	12/10/2015	13/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	0	1	0	There is a slight crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	Yes	No	No	No	No	No	Associate professor/Lecturer	Biology	Very likely	Very likely	Likely	Likely	Very likely	Likely	Very likely	Likely	Not very likely	Not very likely	Neither agree nor disagree	Agree	Quarterly	Never	Quarterly	No	No	6-10 members	45 - 54
